Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",102942,"(+/- 5505 )",67395,"(+/- 4935 )",59700,"(+/- 4437 )",108174,"(+/- 5381 )",90712,"(+/- 5965 )",80958,"(+/- 5646 )",59291,"(+/- 4724 )",87857,"(+/- 6241 )",71913,"(+/- 5985 )",76563,"(+/- 6031 )",96929,"(+/- 5360 )",86618,"(+/- 5236 )",99478,"(+/- 5276 )",96907,"(+/- 4748 )",107607,"(+/- 6653 )",87103,"(+/- 4753 )",86886,"(+/- 4809 )",88433,"(+/- 6356 )",97470,"(+/- 4512 )",122658,"(+/- 8491 )",90503,"(+/- 4647 )",67813,"(+/- 5795 )",108618,"(+/- 6519 )",59710,"(+/- 5271 )",84539,"(+/- 4642 )",71357,"(+/- 5496 )",106159,"(+/- 4825 )",105756,"(+/- 6207 )",62373,"(+/- 5104 )",93085,"(+/- 4992 )",97048,"(+/- 5671 )",68606,"(+/- 5958 )",74903,"(+/- 5684 )",94113,"(+/- 5681 )",108735,"(+/- 6010 )",103887,"(+/- 5943 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",175493,"(+/- 2094 )",181512,"(+/- 9573 )",226514,"(+/- 3526 )",182994,"(+/- 2472 )",206309,"(+/- 7197 )",207006,"(+/- 9111 )",214516,"(+/- 13986 )",217655,"(+/- 6457 )",206811,"(+/- 11702 )",218778,"(+/- 10288 )",192765,"(+/- 3756 )",201919,"(+/- 8650 )",175497,"(+/- 2976 )",187338,"(+/- 3602 )",245669,"(+/- 9445 )",202442,"(+/- 4003 )",174465,"(+/- 4693 )",211551,"(+/- 13058 )",183640,"(+/- 3292 )",197314,"(+/- 10325 )",161186,"(+/- 7774 )",247656,"(+/- 7950 )",217831,"(+/- 7629 )",194858,"(+/- 8059 )",194485,"(+/- 6919 )",229425,"(+/- 5286 )",184456,"(+/- 3635 )",231326,"(+/- 7006 )",236101,"(+/- 13325 )",212492,"(+/- 10669 )",223621,"(+/- 3786 )",173878,"(+/- 7835 )",229130,"(+/- 11173 )",216706,"(+/- 6221 )",213706,"(+/- 12478 )",178758,"(+/- 8135 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9115,"(+/- 2040 )",5509,"(+/- 1719 )",5664,"(+/- 1357 )",7704,"(+/- 1706 )",6993,"(+/- 2277 )",6686,"(+/- 1502 )",5186,"(+/- 1600 )",7467,"(+/- 2189 )",6805,"(+/- 1750 )",8849,"(+/- 2395 )",7687,"(+/- 1628 )",7586,"(+/- 1641 )",7193,"(+/- 1470 )",8497,"(+/- 2097 )",13485,"(+/- 2811 )",7108,"(+/- 1667 )",4840,"(+/- 953 )",8005,"(+/- 2207 )",7007,"(+/- 1287 )",13767,"(+/- 3125 )",6303,"(+/- 1520 )",6490,"(+/- 1628 )",11582,"(+/- 2364 )",6248,"(+/- 1871 )",7943,"(+/- 1854 )",6769,"(+/- 1389 )",7766,"(+/- 1667 )",14754,"(+/- 2771 )",6933,"(+/- 1428 )",9058,"(+/- 1928 )",8026,"(+/- 1945 )",6224,"(+/- 1838 )",8725,"(+/- 1665 )",9598,"(+/- 2164 )",14632,"(+/- 2698 )",6018,"(+/- 1536 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",411538,"(+/- 4091 )",495018,"(+/- 15046 )",548004,"(+/- 4465 )",431174,"(+/- 5592 )",442833,"(+/- 8816 )",489210,"(+/- 11166 )",498789,"(+/- 14777 )",508342,"(+/- 10316 )",500203,"(+/- 16066 )",526051,"(+/- 14942 )",435927,"(+/- 5129 )",494354,"(+/- 11280 )",400934,"(+/- 5312 )",446712,"(+/- 5953 )",445570,"(+/- 7497 )",427749,"(+/- 4784 )",490186,"(+/- 8022 )",501614,"(+/- 17341 )",426189,"(+/- 4429 )",515388,"(+/- 12638 )",510222,"(+/- 12566 )",550545,"(+/- 11485 )",434751,"(+/- 12678 )",524535,"(+/- 8784 )",463416,"(+/- 10096 )",557233,"(+/- 7462 )",431589,"(+/- 5641 )",428654,"(+/- 8343 )",465793,"(+/- 16982 )",475186,"(+/- 13022 )",513671,"(+/- 4550 )",489792,"(+/- 10966 )",457457,"(+/- 12579 )",403729,"(+/- 7434 )",525821,"(+/- 15189 )",443231,"(+/- 10306 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",50913,"(+/- 4108 )",35149,"(+/- 3794 )",28422,"(+/- 3119 )",53140,"(+/- 4098 )",49385,"(+/- 4445 )",41460,"(+/- 4274 )",27165,"(+/- 3521 )",43323,"(+/- 4627 )",35309,"(+/- 4175 )",38860,"(+/- 3978 )",45546,"(+/- 4168 )",46243,"(+/- 4190 )",49551,"(+/- 3996 )",49957,"(+/- 3834 )",50576,"(+/- 4420 )",41384,"(+/- 4186 )",47481,"(+/- 3971 )",52102,"(+/- 4915 )",49467,"(+/- 3407 )",72763,"(+/- 7084 )",42128,"(+/- 3500 )",33089,"(+/- 4101 )",56749,"(+/- 5384 )",32775,"(+/- 3462 )",39093,"(+/- 3267 )",36378,"(+/- 3915 )",51177,"(+/- 3936 )",50314,"(+/- 3958 )",34152,"(+/- 3664 )",54518,"(+/- 4009 )",55093,"(+/- 4203 )",31057,"(+/- 3658 )",40781,"(+/- 3954 )",44764,"(+/- 4261 )",59756,"(+/- 3954 )",52942,"(+/- 4569 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",115989,"(+/- 2454 )",91232,"(+/- 5685 )",93824,"(+/- 1873 )",118918,"(+/- 2039 )",96313,"(+/- 3493 )",91100,"(+/- 3969 )",85144,"(+/- 4948 )",109457,"(+/- 3050 )",80886,"(+/- 5142 )",94367,"(+/- 5877 )",114880,"(+/- 2453 )",98963,"(+/- 4320 )",103090,"(+/- 1739 )",99674,"(+/- 2363 )",85178,"(+/- 4068 )",89563,"(+/- 1864 )",92161,"(+/- 3558 )",74831,"(+/- 4487 )",94494,"(+/- 2243 )",83015,"(+/- 4321 )",129606,"(+/- 5159 )",92646,"(+/- 3711 )",93906,"(+/- 3740 )",78106,"(+/- 4553 )",105107,"(+/- 4236 )",88466,"(+/- 3323 )",113233,"(+/- 3017 )",86849,"(+/- 3794 )",58794,"(+/- 4378 )",75854,"(+/- 3572 )",99036,"(+/- 1208 )",97514,"(+/- 4230 )",63129,"(+/- 4401 )",92366,"(+/- 3068 )",79300,"(+/- 3926 )",102720,"(+/- 4309 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42914,"(+/- 3239 )",26737,"(+/- 3283 )",25614,"(+/- 2238 )",47330,"(+/- 3251 )",34334,"(+/- 2667 )",32812,"(+/- 2575 )",26940,"(+/- 2714 )",37067,"(+/- 3399 )",29799,"(+/- 2997 )",28854,"(+/- 3054 )",43696,"(+/- 2453 )",32789,"(+/- 2640 )",42734,"(+/- 2676 )",38453,"(+/- 2359 )",43546,"(+/- 3373 )",38611,"(+/- 2532 )",34565,"(+/- 2596 )",28326,"(+/- 2934 )",40996,"(+/- 2644 )",36128,"(+/- 3156 )",42072,"(+/- 3249 )",28234,"(+/- 3021 )",40287,"(+/- 2518 )",20687,"(+/- 2344 )",37503,"(+/- 2833 )",28210,"(+/- 2504 )",47216,"(+/- 2818 )",40688,"(+/- 3588 )",21288,"(+/- 2253 )",29509,"(+/- 2617 )",33929,"(+/- 2144 )",31325,"(+/- 2744 )",25397,"(+/- 2423 )",39751,"(+/- 2837 )",34347,"(+/- 2893 )",44927,"(+/- 3291 )"
People,"Residence 1 Year Ago","Population 1 year and over",708483,"(+/- 4696 )",760451,"(+/- 22425 )",860587,"(+/- 6140 )",738789,"(+/- 5927 )",759284,"(+/- 11322 )",782223,"(+/- 16788 )",790250,"(+/- 24741 )",853975,"(+/- 14604 )",777106,"(+/- 23915 )",835353,"(+/- 21877 )",750100,"(+/- 6734 )",795601,"(+/- 16753 )",703926,"(+/- 5336 )",754329,"(+/- 6319 )",780568,"(+/- 12022 )",730267,"(+/- 7081 )",761324,"(+/- 9621 )",788951,"(+/- 26333 )",723412,"(+/- 5576 )",796680,"(+/- 20104 )",799236,"(+/- 15600 )",886081,"(+/- 16157 )",757407,"(+/- 17841 )",789178,"(+/- 12791 )",780167,"(+/- 14406 )",868239,"(+/- 10609 )",731045,"(+/- 6986 )",740771,"(+/- 13242 )",748020,"(+/- 25778 )",763383,"(+/- 18604 )",841760,"(+/- 6879 )",752921,"(+/- 14508 )",739031,"(+/- 19417 )",719151,"(+/- 9958 )",820732,"(+/- 22795 )",735851,"(+/- 14764 )"
People,"Residence 1 Year Ago","Same house",594551,"(+/- 9996 )",634399,"(+/- 22940 )",722385,"(+/- 11347 )",642203,"(+/- 9692 )",642592,"(+/- 13611 )",681761,"(+/- 16041 )",652156,"(+/- 22756 )",714717,"(+/- 18558 )",640742,"(+/- 24222 )",710052,"(+/- 21152 )",628241,"(+/- 10202 )",647848,"(+/- 15874 )",582656,"(+/- 9265 )",636708,"(+/- 11229 )",688908,"(+/- 12448 )",614530,"(+/- 14733 )",596645,"(+/- 13444 )",659102,"(+/- 23581 )",578650,"(+/- 10465 )",677814,"(+/- 18641 )",645697,"(+/- 15545 )",753369,"(+/- 18654 )",658434,"(+/- 18090 )",635782,"(+/- 14263 )",661864,"(+/- 11971 )",711738,"(+/- 12469 )",632169,"(+/- 10428 )",656899,"(+/- 15146 )",641256,"(+/- 23315 )",671592,"(+/- 19765 )",680129,"(+/- 9791 )",625416,"(+/- 15002 )",644554,"(+/- 17583 )",656698,"(+/- 12023 )",682570,"(+/- 20635 )",629560,"(+/- 18377 )"
People,"Residence 1 Year Ago","Different house in the U.S.",112236,"(+/- 9243 )",118130,"(+/- 12621 )",126525,"(+/- 9565 )",93766,"(+/- 8551 )",113127,"(+/- 10020 )",96716,"(+/- 10017 )",121708,"(+/- 10706 )",134367,"(+/- 12268 )",126105,"(+/- 15220 )",117932,"(+/- 10621 )",118751,"(+/- 9087 )",140156,"(+/- 11676 )",118632,"(+/- 8818 )",114958,"(+/- 10111 )",87332,"(+/- 8025 )",109932,"(+/- 11922 )",158495,"(+/- 10269 )",124088,"(+/- 13510 )",141701,"(+/- 8567 )",110407,"(+/- 9291 )",145954,"(+/- 11543 )",121442,"(+/- 12111 )",87868,"(+/- 9772 )",143443,"(+/- 10803 )",112997,"(+/- 8996 )",149645,"(+/- 9283 )",96407,"(+/- 8174 )",78595,"(+/- 8838 )",101289,"(+/- 11533 )",88710,"(+/- 8522 )",153850,"(+/- 10370 )",118561,"(+/- 9438 )",88258,"(+/- 9479 )",60357,"(+/- 8483 )",131048,"(+/- 10642 )",104356,"(+/- 10874 )"
People,"Residence 1 Year Ago","Same county",59684,"(+/- 6442 )",83531,"(+/- 9502 )",60140,"(+/- 7239 )",44736,"(+/- 6734 )",70502,"(+/- 8708 )",58849,"(+/- 7074 )",94654,"(+/- 9881 )",69533,"(+/- 11119 )",93887,"(+/- 13873 )",66717,"(+/- 6974 )",65760,"(+/- 7512 )",82811,"(+/- 9041 )",65666,"(+/- 7806 )",62245,"(+/- 7622 )",51596,"(+/- 7550 )",77012,"(+/- 10481 )",87620,"(+/- 8243 )",102743,"(+/- 13516 )",78891,"(+/- 8164 )",80140,"(+/- 8934 )",80965,"(+/- 8746 )",67351,"(+/- 10858 )",56107,"(+/- 7585 )",84577,"(+/- 10104 )",53139,"(+/- 5479 )",74292,"(+/- 8090 )",59136,"(+/- 6944 )",58378,"(+/- 8557 )",89838,"(+/- 11041 )",59313,"(+/- 7507 )",80031,"(+/- 8103 )",76739,"(+/- 7474 )",66505,"(+/- 8455 )",43012,"(+/- 7882 )",79033,"(+/- 9092 )",56884,"(+/- 8453 )"
People,"Residence 1 Year Ago","Different county",52552,"(+/- 6444 )",34599,"(+/- 7193 )",66385,"(+/- 6707 )",49030,"(+/- 5310 )",42625,"(+/- 4742 )",37867,"(+/- 6637 )",27054,"(+/- 3945 )",64834,"(+/- 7365 )",32218,"(+/- 7309 )",51215,"(+/- 7239 )",52991,"(+/- 6358 )",57345,"(+/- 7624 )",52966,"(+/- 4970 )",52713,"(+/- 7359 )",35736,"(+/- 4651 )",32920,"(+/- 4844 )",70875,"(+/- 7378 )",21345,"(+/- 4163 )",62810,"(+/- 5519 )",30267,"(+/- 4995 )",64989,"(+/- 7006 )",54091,"(+/- 6919 )",31761,"(+/- 4956 )",58866,"(+/- 6684 )",59858,"(+/- 7403 )",75353,"(+/- 7539 )",37271,"(+/- 5410 )",20217,"(+/- 3636 )",11451,"(+/- 3276 )",29397,"(+/- 3869 )",73819,"(+/- 7378 )",41822,"(+/- 5401 )",21753,"(+/- 4268 )",17345,"(+/- 3458 )",52015,"(+/- 5346 )",47472,"(+/- 6222 )"
People,"Residence 1 Year Ago","Same state",42874,"(+/- 5654 )",19578,"(+/- 4719 )",40183,"(+/- 5912 )",36421,"(+/- 4509 )",31791,"(+/- 4250 )",27110,"(+/- 5219 )",13043,"(+/- 2970 )",49251,"(+/- 6710 )",21437,"(+/- 6166 )",32208,"(+/- 5459 )",40230,"(+/- 5341 )",37206,"(+/- 6691 )",34879,"(+/- 3854 )",39629,"(+/- 6471 )",26026,"(+/- 4222 )",9667,"(+/- 3197 )",54697,"(+/- 6819 )",13381,"(+/- 3028 )",49280,"(+/- 5106 )",16719,"(+/- 3436 )",40314,"(+/- 5705 )",42662,"(+/- 6205 )",19212,"(+/- 3647 )",37790,"(+/- 5586 )",36108,"(+/- 5469 )",53255,"(+/- 6919 )",27527,"(+/- 4758 )",11491,"(+/- 2608 )",9010,"(+/- 2905 )",19187,"(+/- 2955 )",42687,"(+/- 5799 )",23405,"(+/- 4464 )",14856,"(+/- 3906 )",13305,"(+/- 2814 )",36448,"(+/- 4708 )",38449,"(+/- 5605 )"
People,"Residence 1 Year Ago","Different state",9678,"(+/- 2934 )",15021,"(+/- 5264 )",26202,"(+/- 4685 )",12609,"(+/- 3192 )",10834,"(+/- 2627 )",10757,"(+/- 3718 )",14011,"(+/- 3105 )",15583,"(+/- 5279 )",10781,"(+/- 3357 )",19007,"(+/- 4808 )",12761,"(+/- 2885 )",20139,"(+/- 3873 )",18087,"(+/- 3115 )",13084,"(+/- 4168 )",9710,"(+/- 3197 )",23253,"(+/- 4164 )",16178,"(+/- 2984 )",7964,"(+/- 2605 )",13530,"(+/- 2885 )",13548,"(+/- 3305 )",24675,"(+/- 3670 )",11429,"(+/- 2923 )",12549,"(+/- 2581 )",21076,"(+/- 4267 )",23750,"(+/- 4179 )",22098,"(+/- 4014 )",9744,"(+/- 2965 )",8726,"(+/- 2503 )",2441,"(+/- 1381 )",10210,"(+/- 2422 )",31132,"(+/- 5362 )",18417,"(+/- 3375 )",6897,"(+/- 2457 )",4040,"(+/- 1738 )",15567,"(+/- 3396 )",9023,"(+/- 2474 )"
People,"Residence 1 Year Ago",Abroad,1696,"(+/- 752 )",7922,"(+/- 2584 )",11677,"(+/- 3219 )",2820,"(+/- 1137 )",3565,"(+/- 1877 )",3746,"(+/- 1491 )",16386,"(+/- 4421 )",4891,"(+/- 3252 )",10259,"(+/- 2899 )",7369,"(+/- 2322 )",3108,"(+/- 1155 )",7597,"(+/- 3070 )",2638,"(+/- 1005 )",2663,"(+/- 1622 )",4328,"(+/- 2177 )",5805,"(+/- 1754 )",6184,"(+/- 2015 )",5761,"(+/- 2630 )",3061,"(+/- 925 )",8459,"(+/- 3084 )",7585,"(+/- 2183 )",11270,"(+/- 4332 )",11105,"(+/- 4259 )",9953,"(+/- 2601 )",5306,"(+/- 1682 )",6856,"(+/- 2101 )",2469,"(+/- 1055 )",5277,"(+/- 1463 )",5475,"(+/- 2245 )",3081,"(+/- 1574 )",7781,"(+/- 1725 )",8944,"(+/- 2949 )",6219,"(+/- 2038 )",2096,"(+/- 1126 )",7114,"(+/- 2825 )",1935,"(+/- 889 )"
Workers,"Employment Status","Population 16 years and over",560550,"(+/- 4133 )",612572,"(+/- 17215 )",670569,"(+/- 5334 )",585295,"(+/- 5509 )",584293,"(+/- 8892 )",611274,"(+/- 11940 )",607023,"(+/- 16239 )",671954,"(+/- 10662 )",604603,"(+/- 17937 )",647561,"(+/- 16244 )",587484,"(+/- 5809 )",626953,"(+/- 13091 )",556974,"(+/- 4121 )",597800,"(+/- 5750 )",571946,"(+/- 8324 )",562913,"(+/- 4909 )",615342,"(+/- 8529 )",610191,"(+/- 20031 )",570097,"(+/- 4641 )",630346,"(+/- 14046 )",664224,"(+/- 13178 )",678219,"(+/- 12988 )",576596,"(+/- 13885 )",627915,"(+/- 10608 )",617439,"(+/- 11179 )",677078,"(+/- 8492 )",577260,"(+/- 6012 )",548547,"(+/- 9333 )",552497,"(+/- 18656 )",584798,"(+/- 13254 )",652462,"(+/- 4183 )",609890,"(+/- 11927 )",549436,"(+/- 14807 )",535311,"(+/- 8175 )",639912,"(+/- 17005 )",584409,"(+/- 11755 )"
Workers,"Employment Status","In labor force",318955,"(+/- 6918 )",421886,"(+/- 13804 )",476217,"(+/- 6889 )",350527,"(+/- 6764 )",356575,"(+/- 9091 )",412117,"(+/- 11637 )",417915,"(+/- 12706 )",408679,"(+/- 12345 )",403579,"(+/- 13262 )",446634,"(+/- 13481 )",360670,"(+/- 6567 )",417693,"(+/- 11471 )",347066,"(+/- 5918 )",354614,"(+/- 7091 )",341152,"(+/- 7553 )",352129,"(+/- 6727 )",387413,"(+/- 8101 )",387825,"(+/- 15334 )",352960,"(+/- 6171 )",410972,"(+/- 11669 )",438010,"(+/- 11661 )",452900,"(+/- 10990 )",344016,"(+/- 10505 )",464948,"(+/- 9593 )",386711,"(+/- 9356 )",483262,"(+/- 8240 )",355189,"(+/- 7593 )",324210,"(+/- 8128 )",353795,"(+/- 14472 )",376323,"(+/- 11001 )",433759,"(+/- 8925 )",427873,"(+/- 9820 )",363125,"(+/- 11901 )",295423,"(+/- 6976 )",429257,"(+/- 14265 )",347481,"(+/- 9856 )"
Workers,"Employment Status","Civilian labor force",318865,"(+/- 6907 )",421537,"(+/- 13820 )",475823,"(+/- 6942 )",350393,"(+/- 6747 )",356180,"(+/- 9090 )",411581,"(+/- 11640 )",417322,"(+/- 12594 )",408362,"(+/- 12400 )",403449,"(+/- 13267 )",446083,"(+/- 13438 )",357770,"(+/- 6409 )",416447,"(+/- 11426 )",339244,"(+/- 6021 )",353995,"(+/- 7056 )",340843,"(+/- 7551 )",336271,"(+/- 6677 )",386648,"(+/- 8156 )",387645,"(+/- 15330 )",349121,"(+/- 6250 )",403225,"(+/- 11898 )",434862,"(+/- 11607 )",452362,"(+/- 11045 )",338923,"(+/- 10269 )",464611,"(+/- 9584 )",376421,"(+/- 9141 )",482720,"(+/- 8278 )",353396,"(+/- 7626 )",322507,"(+/- 8188 )",353694,"(+/- 14475 )",376028,"(+/- 10963 )",421800,"(+/- 8644 )",427756,"(+/- 9839 )",362750,"(+/- 11848 )",294912,"(+/- 6935 )",427821,"(+/- 14107 )",346941,"(+/- 9879 )"
Workers,"Employment Status",Employed,299529,"(+/- 7167 )",403733,"(+/- 13058 )",458510,"(+/- 7729 )",333147,"(+/- 7291 )",339401,"(+/- 8373 )",395567,"(+/- 11129 )",395423,"(+/- 12280 )",387445,"(+/- 11561 )",376275,"(+/- 13585 )",426526,"(+/- 13217 )",342654,"(+/- 6123 )",397443,"(+/- 11347 )",324558,"(+/- 5945 )",335123,"(+/- 6971 )",319885,"(+/- 7796 )",315029,"(+/- 6697 )",369068,"(+/- 8065 )",360059,"(+/- 13507 )",331943,"(+/- 6159 )",380347,"(+/- 12304 )",419904,"(+/- 11479 )",426338,"(+/- 11070 )",320930,"(+/- 10867 )",446783,"(+/- 8971 )",360073,"(+/- 9213 )",463873,"(+/- 8183 )",334942,"(+/- 7705 )",301666,"(+/- 8003 )",327871,"(+/- 13363 )",353498,"(+/- 11071 )",402864,"(+/- 7742 )",407834,"(+/- 9389 )",340115,"(+/- 11243 )",277703,"(+/- 6720 )",405702,"(+/- 13580 )",320130,"(+/- 9684 )"
Workers,"Employment Status",Unemployed,19336,"(+/- 3198 )",17804,"(+/- 2896 )",17313,"(+/- 2919 )",17246,"(+/- 2429 )",16779,"(+/- 2898 )",16014,"(+/- 2033 )",21899,"(+/- 3916 )",20917,"(+/- 3146 )",27174,"(+/- 3741 )",19557,"(+/- 3103 )",15116,"(+/- 2687 )",19004,"(+/- 2910 )",14686,"(+/- 2023 )",18872,"(+/- 2445 )",20958,"(+/- 3474 )",21242,"(+/- 2805 )",17580,"(+/- 2726 )",27586,"(+/- 3522 )",17178,"(+/- 2749 )",22878,"(+/- 3797 )",14958,"(+/- 2306 )",26024,"(+/- 4730 )",17993,"(+/- 2620 )",17828,"(+/- 2629 )",16348,"(+/- 2208 )",18847,"(+/- 2598 )",18454,"(+/- 2911 )",20841,"(+/- 2887 )",25823,"(+/- 3418 )",22530,"(+/- 2613 )",18936,"(+/- 2933 )",19922,"(+/- 3428 )",22635,"(+/- 2792 )",17209,"(+/- 2470 )",22119,"(+/- 3095 )",26811,"(+/- 3269 )"
Workers,"Employment Status","Armed Forces",90,"(+/- 115 )",349,"(+/- 464 )",394,"(+/- 282 )",134,"(+/- 140 )",395,"(+/- 444 )",536,"(+/- 496 )",593,"(+/- 545 )",317,"(+/- 361 )",130,"(+/- 156 )",551,"(+/- 557 )",2900,"(+/- 1089 )",1246,"(+/- 523 )",7822,"(+/- 2601 )",619,"(+/- 500 )",309,"(+/- 214 )",15858,"(+/- 2017 )",765,"(+/- 460 )",180,"(+/- 202 )",3839,"(+/- 859 )",7747,"(+/- 1508 )",3148,"(+/- 829 )",538,"(+/- 483 )",5093,"(+/- 1651 )",337,"(+/- 270 )",10290,"(+/- 1555 )",542,"(+/- 490 )",1793,"(+/- 772 )",1703,"(+/- 555 )",101,"(+/- 116 )",295,"(+/- 249 )",11959,"(+/- 1707 )",117,"(+/- 187 )",375,"(+/- 347 )",511,"(+/- 423 )",1436,"(+/- 573 )",540,"(+/- 542 )"
Workers,"Employment Status","Not in labor force",241595,"(+/- 7581 )",190686,"(+/- 9617 )",194352,"(+/- 6641 )",234768,"(+/- 5648 )",227718,"(+/- 6739 )",199157,"(+/- 7846 )",189108,"(+/- 7132 )",263275,"(+/- 8724 )",201024,"(+/- 9954 )",200927,"(+/- 8666 )",226814,"(+/- 6479 )",209260,"(+/- 8570 )",209908,"(+/- 5642 )",243186,"(+/- 6319 )",230794,"(+/- 7854 )",210784,"(+/- 6310 )",227929,"(+/- 7536 )",222366,"(+/- 11130 )",217137,"(+/- 6121 )",219374,"(+/- 8578 )",226214,"(+/- 8973 )",225319,"(+/- 8098 )",232580,"(+/- 8357 )",162967,"(+/- 6522 )",230728,"(+/- 7759 )",193816,"(+/- 6873 )",222071,"(+/- 6595 )",224337,"(+/- 8313 )",198702,"(+/- 9880 )",208475,"(+/- 7927 )",218703,"(+/- 8860 )",182017,"(+/- 6209 )",186311,"(+/- 8472 )",239888,"(+/- 6470 )",210655,"(+/- 8181 )",236928,"(+/- 7397 )"
Workers,"Employment Status","Civilian labor force",318865,"(+/- 6907 )",421537,"(+/- 13820 )",475823,"(+/- 6942 )",350393,"(+/- 6747 )",356180,"(+/- 9090 )",411581,"(+/- 11640 )",417322,"(+/- 12594 )",408362,"(+/- 12400 )",403449,"(+/- 13267 )",446083,"(+/- 13438 )",357770,"(+/- 6409 )",416447,"(+/- 11426 )",339244,"(+/- 6021 )",353995,"(+/- 7056 )",340843,"(+/- 7551 )",336271,"(+/- 6677 )",386648,"(+/- 8156 )",387645,"(+/- 15330 )",349121,"(+/- 6250 )",403225,"(+/- 11898 )",434862,"(+/- 11607 )",452362,"(+/- 11045 )",338923,"(+/- 10269 )",464611,"(+/- 9584 )",376421,"(+/- 9141 )",482720,"(+/- 8278 )",353396,"(+/- 7626 )",322507,"(+/- 8188 )",353694,"(+/- 14475 )",376028,"(+/- 10963 )",421800,"(+/- 8644 )",427756,"(+/- 9839 )",362750,"(+/- 11848 )",294912,"(+/- 6935 )",427821,"(+/- 14107 )",346941,"(+/- 9879 )"
Workers,"Employment Status","Unemployment Rate",6.1,"(+/- 1.0 )",4.2,"(+/- 0.7 )",3.6,"(+/- 0.6 )",4.9,"(+/- 0.7 )",4.7,"(+/- 0.8 )",3.9,"(+/- 0.5 )",5.2,"(+/- 0.9 )",5.1,"(+/- 0.7 )",6.7,"(+/- 0.9 )",4.4,"(+/- 0.7 )",4.2,"(+/- 0.7 )",4.6,"(+/- 0.7 )",4.3,"(+/- 0.6 )",5.3,"(+/- 0.7 )",6.1,"(+/- 1.0 )",6.3,"(+/- 0.8 )",4.5,"(+/- 0.7 )",7.1,"(+/- 0.8 )",4.9,"(+/- 0.8 )",5.7,"(+/- 1.0 )",3.4,"(+/- 0.5 )",5.8,"(+/- 1.0 )",5.3,"(+/- 0.8 )",3.8,"(+/- 0.5 )",4.3,"(+/- 0.6 )",3.9,"(+/- 0.5 )",5.2,"(+/- 0.8 )",6.5,"(+/- 0.9 )",7.3,"(+/- 0.9 )",6.0,"(+/- 0.7 )",4.5,"(+/- 0.7 )",4.7,"(+/- 0.8 )",6.2,"(+/- 0.7 )",5.8,"(+/- 0.8 )",5.2,"(+/- 0.7 )",7.7,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",293557,"(+/- 7186 )",397317,"(+/- 13164 )",453098,"(+/- 7959 )",327406,"(+/- 7588 )",333811,"(+/- 8509 )",388754,"(+/- 11336 )",388798,"(+/- 12167 )",380390,"(+/- 11768 )",368653,"(+/- 13086 )",420330,"(+/- 13092 )",340632,"(+/- 6293 )",391345,"(+/- 11406 )",325829,"(+/- 5699 )",330076,"(+/- 7142 )",313739,"(+/- 7834 )",323250,"(+/- 6579 )",362886,"(+/- 7826 )",354052,"(+/- 13275 )",331328,"(+/- 5987 )",383126,"(+/- 12041 )",415120,"(+/- 11267 )",420865,"(+/- 10873 )",321418,"(+/- 11013 )",437554,"(+/- 9078 )",365025,"(+/- 9223 )",457976,"(+/- 8082 )",330307,"(+/- 7774 )",298244,"(+/- 7869 )",319819,"(+/- 12890 )",348800,"(+/- 10974 )",406374,"(+/- 8038 )",401889,"(+/- 9329 )",331716,"(+/- 10990 )",274977,"(+/- 6637 )",399570,"(+/- 13441 )",312971,"(+/- 9601 )"
